age,male,female
12,0,0
13,1.88612355683238E-05,1.88612355683238E-05
14,0.007478649,0.007478649
15,0.0149368455,0.0149368455
16,0.0223807009,0.0223807009
17,0.0296257435,0.0296257435
18,0.0363206568,0.0363206568
19,0.04215718,0.04215718
20,0.0468743955,0.0468743955
21,0.0502799345,0.0502799345
22,0.0522536308,0.0522536308
23,0.0529344365,0.0529344365
24,0.0526179597,0.0526179597
25,0.0516041386,0.0516041386
26,0.0501948191,0.0501948191
27,0.0486975915,0.0486975915
28,0.0474207286,0.0474207286
29,0.0466620968,0.0466620968
30,0.0466177173,0.0466177173
31,0.0470108607,0.0470108607
32,0.0474307499,0.0474307499
33,0.0474993796,0.0474993796
34,0.0469622873,0.0469622873
35,0.045948371,0.045948371
36,0.0446632567,0.0446632567
37,0.0433045115,0.0433045115
38,0.0420009472,0.0420009472
39,0.0407251308,0.0407251308
40,0.0394534167,0.0394534167
41,0.0382123998,0.0382123998
42,0.0370067995,0.0370067995
43,0.0357962094,0.0357962094
44,0.0345651038,0.0345651038
45,0.0333382111,0.0333382111
46,0.0321263157,0.0321263157
47,0.0309202362,0.0309202362
48,0.0297145857,0.0297145857
49,0.0285090027,0.0285090027
50,0.0273034217,0.0273034217
