age,muhat
12,-0.0102240774
13,-0.0015174242
14,0.0071900707
15,0.0158995896
16,0.0246038055
17,0.0330884493
18,0.0409400671
19,0.0478334587
20,0.0535293417
21,0.0578484675
22,0.0606611571
23,0.0619291562
24,0.0617017667
25,0.0603116725
26,0.0582419386
27,0.0560168175
28,0.0541648145
29,0.0531388768
30,0.0531980093
31,0.0537979865
32,0.0542154229
33,0.0539769531
34,0.0528346194
35,0.0510817804
36,0.0490638615
37,0.0469589507
38,0.0448245959
39,0.0425061681
40,0.0399423044
41,0.0373116066
42,0.0347437061
43,0.0322412504
44,0.0297866922
45,0.027351222
46,0.0249179284
47,0.0224850857
48,0.0200522614
49,0.0176194371
50,0.0151866128
