Age,Male,Female
12,0.000690564,0.0004421381
13,0.0009668096,0.0006734535
14,0.0012222474,0.0008511553
15,0.0013850949,0.0009325971
16,0.0013563702,0.000901738
17,0.0011655878,0.0007895362
18,0.0009510542,0.0006608228
19,0.0007754289,0.0005473205
20,0.0006459664,0.0004546232
21,0.0005522815,0.0003804458
22,0.0004767409,0.00031913
23,0.0004201117,0.000274282
24,0.0003905348,0.0002529302
25,0.0003738175,0.0002468641
26,0.0003476015,0.0002412595
27,0.0003086232,0.00022771
28,0.0002629096,0.0002027115
29,0.0002232017,0.0001745884
30,0.000199492,0.0001530977
31,0.000179705,0.000136019
32,0.0001514682,0.0001199519
33,0.0001257083,0.000110469
34,0.0001150854,0.0001120181
35,0.0001202847,0.0001181263
36,0.0001355399,0.0001212452
37,0.0001433817,0.0001171699
38,0.000134159,0.0001065991
39,0.0001214543,0.0001000866
40,0.0001164717,0.000103295
41,0.0001196018,0.0001098434
42,0.0001285792,0.0001152282
43,0.0001387549,0.0001203624
44,0.0001474476,0.0001260437
45,0.0001550996,0.0001321861
46,0.0001622417,0.0001386228
47,0.0001692205,0.000145173
48,0.0001762097,0.0001517429
49,0.0001832167,0.0001583285
50,0.0001902417,0.0001649299
