Age,Male,Female
12,0.000018,0.000008
13,0.000039,0.000038
14,0.000116,0.000126
15,0.000262,0.000263
16,0.000325,0.000355
17,0.000397,0.000404
18,0.000356,0.000389
19,0.000376,0.000370
20,0.000332,0.000324
21,0.000311,0.000265
22,0.000281,0.000252
23,0.000260,0.000205
24,0.000270,0.000198
25,0.000255,0.000199
26,0.000270,0.000225
27,0.000232,0.000196
28,0.000200,0.000160
29,0.000173,0.000159
30,0.000172,0.000136
31,0.000138,0.000111
32,0.000136,0.000100
33,0.000093,0.000093
34,0.000107,0.000082
35,0.000095,0.000107
36,0.000130,0.000130
37,0.000130,0.000093
38,0.000115,0.000083
39,0.000095,0.000087
40,0.000115,0.000109
