Age,Male,Female
12,1.88818210947739E-05,3.20418601528205E-05
13,0.0001124271,0.0001501542
14,0.0002413015,0.0003528305
15,0.0003980811,0.0006291483
16,0.0005457755,0.0008868663
17,0.0006572787,0.0010620204
18,0.0007230747,0.0011525325
19,0.0007494467,0.0011752689
20,0.0007558207,0.0011584993
21,0.0007559442,0.0011188446
22,0.0007583305,0.001064996
23,0.000767825,0.0010243596
24,0.0007863277,0.0010292765
25,0.0008084029,0.0010666663
26,0.0008253401,0.0011016348
27,0.0008330975,0.0011107169
28,0.0008297582,0.0010793435
29,0.0008134984,0.0010129256
30,0.0007826773,0.0009253981
31,0.0007358977,0.0008357676
32,0.0006754289,0.0007589156
33,0.0006165526,0.0006937521
34,0.0005742924,0.000639978
35,0.0005554751,0.0006109146
36,0.0005603063,0.0006110228
37,0.0005746522,0.0006134173
38,0.0005869642,0.0005999413
39,0.0005975845,0.0005850622
40,0.0006088408,0.0005821939
41,0.0006236016,0.0005941423
42,0.0006442613,0.0006197715
43,0.0006722651,0.0006532046
44,0.0007070472,0.0006898921
45,0.0007452373,0.0007278961
46,0.0007846372,0.0007662807
47,0.00082481,0.0008051338
48,0.0008655878,0.0008445415
49,0.0009069805,0.0008845233
50,0.000949007,0.000925096
