"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
0,0.437178546975811,0.73514207469653,0.895785778351134,0.965714325923557,0.990568732082324,0.997830802182897,0.999582842628851,0.999932923194423,0.999990981869648,0.999998986246581,0.999999904716031,0.999999992511772,0.999999999507949,0.999999999972966,0.999999999998758,0.999999999999952,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.326869984862357,0.621147986806038,0.82171618073115,0.929850279403941,0.976921283689919,0.993651530483807,0.998539847840537,0.999719198852444,0.999954848588846,0.99999392962578,0.999999317612146,0.9999999358615,0.999999994959449,0.999999999668786,0.999999999981803,0.999999999999164,0.999999999999968,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.167723741990787,0.403459067113329,0.631770795686487,0.804250145807959,0.910383103010014,0.964666749322537,0.988002727475391,0.996491781042012,0.999116521275931,0.999808393279888,0.999964212561431,0.999994243536814,0.999999202581908,0.999999904869085,0.999999990226221,0.999999999135214,0.999999999934104,0.999999999995676,0.999999999999756,0.999999999999988,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0.0306888470389262,0.172792156226435,0.378481153838044,0.588867144341401,0.76055912457835,0.877227069343587,0.94457634300796,0.977971954852097,0.992291942212898,0.997625335881059,0.999355908389102,0.999846191151989,0.999967662739853,0.999994014322061,0.999999024534991,0.999999860041826,0.999999982320374,0.999999998033762,0.999999999807475,0.999999999983403,0.99999999999874,0.999999999999916,0.999999999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0785037409644356,0,0.0282831751043745,0.15450169017066,0.341252372635273,0.540422579568989,0.712901051962317,0.839402855828116,0.919559023501491,0.96392136079009,0.985510404473878,0.994789304738298,0.998322091066082,0.999516190494485,0.999875085254908,0.999971120723142,0.999994021500169,0.999998891766109,0.999999816048247,0.999999972659293,0.999999996361278,0.999999999566368,0.999999999953727,0.999999999995579,0.999999999999622,0.999999999999971,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.212118686734759,0.0681673452180073,0,0.0262510031903613,0.139642407967592,0.31024331796331,0.498237978554137,0.668804364438326,0.801638961762385,0.892201407774978,0.946843698662263,0.976216193162959,0.990344096157453,0.996442954305114,0.998811029976506,0.99963939037431,0.999900759561673,0.999975218648865,0.999994385045545,0.9999988456103,0.999999784650634,0.999999963548139,0.999999994401383,0.999999999219763,0.999999999901336,0.999999999988679,0.999999999998821,0.999999999999889,0.99999999999999,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.359462452545941,0.189672978775445,0.0599618979690419,0,0.0245074650579224,0.127395782410392,0.284219154339297,0.461591082443679,0.62862400911242,0.765099030097822,0.863753547375976,0.927533880729858,0.964656120933235,0.984192513199203,0.993516927917123,0.997561805876767,0.999159137243464,0.999734079780019,0.999922883552859,0.999979492530633,0.999994999118803,0.999998881720379,0.999999770689632,0.999999956881229,0.999999992565043,0.999999998824399,0.999999999829545,0.999999999977336,0.999999999997237,0.999999999999691,0.999999999999968,0.999999999999997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.497445241359114,0.328925339365002,0.1712260489601,0.0533724371575684,0,0.0229907948063908,0.117174005451818,0.26221576611112,0.429755074219143,0.592365165305423,0.730499887148008,0.835212443448741,0.906810350548599,0.951259638809798,0.976423050703231,0.989452141937973,0.995635658299596,0.998329867160056,0.999408899826559,0.999806514261659,0.999941424685027,0.999983599461529,0.999995753028143,0.999998982865325,0.999999774703036,0.999999953845929,0.999999991255349,0.999999998467668,0.999999999751663,0.999999999962777,0.99999999999484,0.999999999999338,0.999999999999922,0.999999999999991,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.616065591328544,0.463985386853513,0.303035394965146,0.1559672155761,0.0480318721578222,0,0.0216548619497581,0.108546526315033,0.243481118913419,0.402063092564503,0.559845192510593,0.698234186421759,0.807314459514719,0.885411057211775,0.936532586605331,0.967260398801379,0.984270661079713,0.992961792686444,0.997066891427585,0.998861563732406,0.999588467815259,0.999861447812088,0.999956555233231,0.999987312500114,0.999996549125764,0.999999125828362,0.999999793757202,0.999999954681516,0.999999990725587,0.999999998232286,0.999999999686201,0.999999999948119,0.999999999992011,0.999999999998854,0.999999999999847,0.999999999999981,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.712900479428173,0.58380729962344,0.434825156637115,0.281051869687726,0.143280470870371,0.0436735947121133,0,0.0204643991082703,0.101192221956592,0.227426528409463,0.377930178425825,0.530792606611026,0.668474504538009,0.780570309259804,0.863949475158905,0.920981019125895,0.957007866358297,0.978088457766786,0.989538757593995,0.995321356469778,0.998039878370678,0.999230741228447,0.999717194230456,0.999902606394027,0.99996858051961,0.999990505022861,0.999997312086921,0.99999928720788,0.999999822933284,0.999999958796193,0.999999991018184,0.999999998165924,0.99999999964917,0.999999999937136,0.999999999989448,0.999999999998341,0.999999999999756,0.999999999999966,0.999999999999996,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
