age,male,female
12,0.975275848,0.9750747757
13,0.9403351042,0.917447657
14,0.8487944422,0.7928215354
15,0.7227217,0.6171485543
16,0.5860237025,0.4458624128
17,0.4662852472,0.3080757727
18,0.3630976706,0.2161515454
19,0.2887208827,0.1613160518
20,0.2394769105,0.1224327019
21,0.1875766244,0.0921236291
22,0.1505925623,0.073778664
23,0.1248467511,0.059222333
24,0.1105435227,0.0512462612
25,0.0935839804,0.0404785643
26,0.0749897834,0.0319042871
27,0.0623212096,0.0265204387
28,0.0525132816,0.0221335992
29,0.0455659992,0.0189431705
30,0.0398447078,0.0163509472
31,0.0335104209,0.0143569292
32,0.0288107887,0.013559322
33,0.0241111565,0.0113659023
34,0.0232938292,0.0107676969
35,0.021046179,0.0095712861
36,0.0175725378,0.0065802592
37,0.0147118921,0.0049850449
38,0.0114425828,0.0039880359
39,0.0102165917,0.0031904287
40,0.0087862689,0.0029910269
41,0.0065386187,0.0023928215
42,0.0034736412,0.0013958126
43,0.0002043318,0
44,0,0
