male,female
0.0264796732,0.0323417652
0.0353770352,0.0431089144
0.0446850011,0.0535650869
0.0526648453,0.0618382404
0.0576308902,0.0663799241
0.0597786323,0.0679645631
0.0603209812,0.0689600194
0.0610611063,0.0717235046
0.0638181197,0.078695135
0.0682515153,0.0909084834
0.0724391548,0.1042059615
0.0751762169,0.1126127307
0.0763554708,0.1143904952
0.076611211,0.1103128945
0.0776376747,0.1040386136
0.0808626963,0.0998497657
0.086599056,0.099514013
0.094889683,0.1030320015
0.1046780412,0.1098715882
0.1141531891,0.1179591697
0.1218271686,0.1248889232
0.1265695218,0.1292022396
0.1284212501,0.129941179
0.1286421954,0.1278678813
0.1295714691,0.1246760782
0.135102097,0.1236355305
0.1497304205,0.1295420627
0.1793409181,0.1480377281
0.2327959027,0.1877222399
